# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl1286
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,1.067328e-10,7.841288e-09,3.164298e-07,8.081536e-05,9.480745e-05,1.152247e-04,1.397605e+03,1.622138e+03,1.819086e+03,3.970722e-06
1.314147e-05,1.582769e-10,9.188387e-09,3.360729e-07,8.141111e-05,9.499648e-05,1.155587e-04,1.431495e+03,1.644553e+03,1.829320e+03,5.739132e-06
1.726983e-05,2.164416e-10,1.068761e-08,3.529945e-07,8.191186e-05,9.517747e-05,1.156065e-04,1.466417e+03,1.667717e+03,1.840010e+03,8.257723e-06
2.269511e-05,2.909979e-10,1.183272e-08,3.680667e-07,8.212863e-05,9.513545e-05,1.154488e-04,1.500109e+03,1.689145e+03,1.850149e+03,1.181614e-05
2.982471e-05,3.910171e-10,1.363167e-08,3.891410e-07,8.230461e-05,9.523777e-05,1.153317e-04,1.533440e+03,1.711280e+03,1.860672e+03,1.680626e-05
3.919407e-05,5.006264e-10,1.526482e-08,4.068313e-07,8.260627e-05,9.536131e-05,1.153456e-04,1.566954e+03,1.732762e+03,1.871125e+03,2.381037e-05
5.150678e-05,6.010449e-10,1.713015e-08,4.256486e-07,8.280087e-05,9.545998e-05,1.154272e-04,1.599680e+03,1.753605e+03,1.881344e+03,3.363499e-05
6.768750e-05,7.210849e-10,1.917429e-08,4.413755e-07,8.295724e-05,9.552473e-05,1.155071e-04,1.632022e+03,1.774375e+03,1.891350e+03,4.732064e-05
8.895135e-05,8.665220e-10,2.079917e-08,4.705238e-07,8.302409e-05,9.555505e-05,1.152386e-04,1.663462e+03,1.794401e+03,1.900897e+03,6.621272e-05
1.168952e-04,9.603338e-10,2.250997e-08,4.772350e-07,8.306512e-05,9.553414e-05,1.150790e-04,1.693048e+03,1.813947e+03,1.910415e+03,9.210693e-05
