# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl410
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,2.954513e-08,5.076587e-08,8.840685e-08,1.604415e-10,5.230610e-10,1.973640e-09,2.626216e+03,2.708209e+03,2.788080e+03,9.164975e-06
1.314147e-05,3.312360e-08,5.507001e-08,9.155886e-08,2.010149e-10,6.308182e-10,2.001124e-09,2.657037e+03,2.735255e+03,2.811041e+03,1.240627e-05
1.726983e-05,3.733344e-08,5.971426e-08,9.612853e-08,2.554866e-10,7.122192e-10,2.200237e-09,2.687669e+03,2.761754e+03,2.833775e+03,1.676650e-05
2.269511e-05,4.215430e-08,6.571527e-08,1.019722e-07,2.978846e-10,8.142012e-10,2.275491e-09,2.717691e+03,2.787671e+03,2.855900e+03,2.262668e-05
2.982471e-05,4.800237e-08,7.228199e-08,1.081840e-07,4.066494e-10,9.819052e-10,2.455743e-09,2.747288e+03,2.813173e+03,2.877538e+03,3.048149e-05
3.919407e-05,5.490605e-08,8.034080e-08,1.167690e-07,4.981722e-10,1.185551e-09,2.890330e-09,2.776148e+03,2.838140e+03,2.898538e+03,4.099214e-05
5.150678e-05,6.306289e-08,8.958819e-08,1.261000e-07,6.534959e-10,1.384419e-09,3.022051e-09,2.804300e+03,2.862686e+03,2.919044e+03,5.502330e-05
6.768750e-05,7.263098e-08,1.005367e-07,1.378091e-07,8.794899e-10,1.777427e-09,3.748957e-09,2.831977e+03,2.886404e+03,2.939067e+03,7.371087e-05
8.895135e-05,8.406303e-08,1.135822e-07,1.515921e-07,1.145112e-09,2.167655e-09,4.261629e-09,2.858785e+03,2.909666e+03,2.958432e+03,9.851704e-05
1.168952e-04,9.815634e-08,1.294161e-07,1.683034e-07,1.528415e-09,2.727468e-09,5.045173e-09,2.884968e+03,2.932225e+03,2.977506e+03,1.313399e-04
1.536175e-04,1.147106e-07,1.471931e-07,1.869432e-07,2.052219e-09,3.459498e-09,6.137036e-09,2.910582e+03,2.954389e+03,2.996100e+03,1.746140e-04
2.018760e-04,1.345685e-07,1.697137e-07,2.099087e-07,2.839396e-09,4.645312e-09,7.663496e-09,2.935329e+03,2.975549e+03,3.014123e+03,2.313534e-04
2.652948e-04,1.586774e-07,1.959522e-07,2.370203e-07,3.845194e-09,5.749614e-09,9.100091e-09,2.959232e+03,2.996121e+03,3.031756e+03,3.054374e-04
3.486365e-04,1.872510e-07,2.265860e-07,2.693359e-07,5.281620e-09,7.986697e-09,1.206231e-08,2.982523e+03,3.015984e+03,3.048477e+03,4.013033e-04
4.581598e-04,2.221242e-07,2.636589e-07,3.086491e-07,7.541382e-09,1.068632e-08,1.491040e-08,3.004727e+03,3.035311e+03,3.064442e+03,5.248913e-04
6.020894e-04,2.644484e-07,3.081724e-07,3.551919e-07,1.051772e-08,1.376313e-08,1.951893e-08,3.026299e+03,3.053932e+03,3.080028e+03,6.824891e-04
7.912343e-04,3.144558e-07,3.623712e-07,4.112004e-07,1.490572e-08,1.986131e-08,2.542068e-08,3.046909e+03,3.071570e+03,3.095145e+03,8.813519e-04
1.039798e-03,3.753334e-07,4.270639e-07,4.789359e-07,2.124376e-08,2.704681e-08,3.436854e-08,3.066703e+03,3.088653e+03,3.109564e+03,1.130675e-03
1.366448e-03,4.498049e-07,5.042693e-07,5.605688e-07,3.048629e-08,3.629953e-08,4.555102e-08,3.085659e+03,3.104844e+03,3.123361e+03,1.437905e-03
1.795714e-03,5.370738e-07,5.976222e-07,6.582834e-07,4.478692e-08,5.326985e-08,6.181017e-08,3.103500e+03,3.120247e+03,3.136398e+03,1.811488e-03
2.359833e-03,6.434983e-07,7.091116e-07,7.786019e-07,6.285290e-08,7.452543e-08,8.633374e-08,3.120361e+03,3.134813e+03,3.148820e+03,2.261734e-03
3.101169e-03,7.690711e-07,8.421108e-07,9.210408e-07,9.144318e-08,1.020399e-07,1.177410e-07,3.136337e+03,3.148580e+03,3.160509e+03,2.794228e-03
4.075393e-03,9.179923e-07,1.002047e-06,1.090587e-06,1.370669e-07,1.502555e-07,1.633813e-07,3.151355e+03,3.161544e+03,3.171577e+03,3.414165e-03
5.355667e-03,1.096491e-06,1.194996e-06,1.297202e-06,1.981248e-07,2.152699e-07,2.317928e-07,3.165321e+03,3.173825e+03,3.182029e+03,4.133748e-03
7.038136e-03,1.304956e-06,1.418647e-06,1.539595e-06,2.835045e-07,3.049452e-07,3.256732e-07,3.178259e+03,3.185180e+03,3.191892e+03,4.974632e-03
9.249147e-03,1.533605e-06,1.664387e-06,1.806322e-06,4.091655e-07,4.326787e-07,4.582419e-07,3.190209e+03,3.195738e+03,3.201204e+03,5.953784e-03
1.215474e-02,1.809348e-06,1.963368e-06,2.132324e-06,5.903764e-07,6.116097e-07,6.345340e-07,3.200817e+03,3.205449e+03,3.210119e+03,7.108428e-03
1.597312e-02,2.114048e-06,2.293190e-06,2.489660e-06,8.460803e-07,8.708142e-07,8.967351e-07,3.210177e+03,3.214391e+03,3.218504e+03,8.535742e-03
2.099104e-02,2.420989e-06,2.625779e-06,2.847896e-06,1.192538e-06,1.220416e-06,1.251314e-06,3.218283e+03,3.222329e+03,3.226413e+03,1.033054e-02
2.758532e-02,2.762962e-06,2.996763e-06,3.248996e-06,1.639027e-06,1.671121e-06,1.707831e-06,3.225196e+03,3.229422e+03,3.233839e+03,1.264882e-02
3.625117e-02,3.086045e-06,3.347512e-06,3.624343e-06,2.217259e-06,2.255545e-06,2.298883e-06,3.231032e+03,3.235700e+03,3.240451e+03,1.575226e-02
4.763938e-02,3.358148e-06,3.646409e-06,3.941488e-06,2.916477e-06,2.960885e-06,3.011685e-06,3.235914e+03,3.241113e+03,3.246322e+03,1.992012e-02
6.260517e-02,3.618162e-06,3.928707e-06,4.250754e-06,3.781240e-06,3.833973e-06,3.894893e-06,3.240005e+03,3.245532e+03,3.251139e+03,2.557929e-02
8.227241e-02,3.769960e-06,4.095157e-06,4.435464e-06,4.764151e-06,4.830725e-06,4.904930e-06,3.243341e+03,3.249091e+03,3.255079e+03,3.327812e-02
1.081181e-01,3.834590e-06,4.164806e-06,4.509421e-06,5.811046e-06,5.896429e-06,5.986917e-06,3.245832e+03,3.251814e+03,3.257947e+03,4.361818e-02
1.420831e-01,3.829977e-06,4.164141e-06,4.509078e-06,6.996194e-06,7.107894e-06,7.222697e-06,3.247421e+03,3.253607e+03,3.260041e+03,5.743080e-02
1.867181e-01,3.724021e-06,4.045617e-06,4.381083e-06,8.143723e-06,8.283170e-06,8.423208e-06,3.248338e+03,3.254630e+03,3.261082e+03,7.794780e-02
2.453751e-01,3.811545e-06,4.133742e-06,4.475258e-06,8.027253e-06,8.162874e-06,8.297378e-06,3.300994e+03,3.307753e+03,3.314170e+03,1.129002e-01
3.224591e-01,4.102534e-06,4.451866e-06,4.822690e-06,6.652927e-06,6.754443e-06,6.864517e-06,3.415409e+03,3.423151e+03,3.430549e+03,1.755978e-01
4.237587e-01,4.211411e-06,4.569019e-06,4.948501e-06,4.132653e-06,4.198348e-06,4.274247e-06,3.598437e+03,3.607592e+03,3.616936e+03,2.880534e-01
5.568814e-01,3.493113e-06,3.789193e-06,4.106956e-06,1.628159e-06,1.686697e-06,1.739508e-06,3.859012e+03,3.871803e+03,3.884717e+03,4.665472e-01
7.318242e-01,2.115772e-06,2.296144e-06,2.494860e-06,3.953843e-07,4.081521e-07,4.226317e-07,4.203292e+03,4.214922e+03,4.225830e+03,6.154704e-01
9.617249e-01,1.341894e-06,1.456093e-06,1.586724e-06,1.265623e-07,1.308783e-07,1.362886e-07,4.515218e+03,4.525641e+03,4.535118e+03,5.657926e-01
1.263848e+00,1.036712e-06,1.127307e-06,1.228269e-06,6.054002e-08,6.346471e-08,6.741520e-08,4.778719e+03,4.792677e+03,4.805455e+03,3.216247e-01
1.660883e+00,9.654016e-07,1.050993e-06,1.146026e-06,4.141387e-08,4.424986e-08,4.931675e-08,4.982366e+03,5.006211e+03,5.028792e+03,9.866976e-02
2.182645e+00,1.003387e-06,1.096913e-06,1.198815e-06,3.745149e-08,4.434219e-08,5.121036e-08,5.116927e+03,5.156749e+03,5.196178e+03,1.135837e-02
2.868317e+00,1.092351e-06,1.196055e-06,1.309373e-06,4.034237e-08,4.869697e-08,5.591712e-08,5.218293e+03,5.276160e+03,5.341093e+03,2.304398e-04
3.769391e+00,1.149673e-06,1.265419e-06,1.393655e-06,3.662143e-08,4.609935e-08,5.830696e-08,5.352655e+03,5.434208e+03,5.525782e+03,2.316517e-07
4.953535e+00,1.155483e-06,1.292874e-06,1.435370e-06,3.107023e-08,4.176948e-08,5.558752e-08,5.531442e+03,5.632506e+03,5.751577e+03,1.180861e-12
6.509675e+00,1.101052e-06,1.258492e-06,1.421169e-06,2.332812e-08,3.450430e-08,4.702367e-08,5.753881e+03,5.877986e+03,6.020922e+03,6.100022e-22
8.554673e+00,9.749290e-07,1.166203e-06,1.356910e-06,1.578594e-08,2.388021e-08,3.523625e-08,6.021758e+03,6.176888e+03,6.347042e+03,2.525951e-38
1.124210e+01,7.964880e-07,9.892595e-07,1.212223e-06,9.599593e-09,1.586153e-08,2.578956e-08,6.334848e+03,6.533422e+03,6.740216e+03,9.972531e-68
1.477378e+01,6.175354e-07,7.966979e-07,1.031210e-06,5.125426e-09,9.202383e-09,1.688256e-08,6.702757e+03,6.960344e+03,7.210985e+03,2.105704e-123
1.941492e+01,4.573260e-07,6.155622e-07,8.443958e-07,2.514835e-09,4.890755e-09,9.926152e-09,7.126526e+03,7.454969e+03,7.778260e+03,2.521173e-239
2.551407e+01,3.257644e-07,4.643755e-07,6.732503e-07,1.220200e-09,2.584685e-09,5.871487e-09,7.604386e+03,8.039059e+03,8.454032e+03,0.000000e+00
3.352924e+01,2.294628e-07,3.419510e-07,5.295452e-07,5.455598e-10,1.307544e-09,3.460698e-09,8.155306e+03,8.722368e+03,9.274089e+03,0.000000e+00
4.406236e+01,1.704558e-07,2.608293e-07,4.167250e-07,2.562720e-10,6.640435e-10,1.918338e-09,8.771140e+03,9.466963e+03,1.013447e+04,0.000000e+00
5.790444e+01,1.467014e-07,2.234966e-07,3.431259e-07,1.809574e-10,4.499790e-10,1.157532e-09,9.464972e+03,1.012819e+04,1.081627e+04,0.000000e+00
7.609497e+01,1.327130e-07,1.963113e-07,2.899501e-07,1.389709e-10,3.204662e-10,7.594954e-10,1.013743e+04,1.079414e+04,1.146365e+04,0.000000e+00
1.000000e+02,1.230213e-07,1.719425e-07,2.492220e-07,1.016494e-10,2.146477e-10,4.831263e-10,1.087362e+04,1.152831e+04,1.214897e+04,0.000000e+00
