# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl447
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,6.824603e-14,1.673783e-11,3.235555e-09,3.381632e-05,5.069831e-05,6.190774e-05,1.041947e+03,1.267605e+03,1.540650e+03,4.580415e-07
1.314147e-05,2.659636e-13,3.508491e-11,5.163238e-09,3.442853e-05,5.451570e-05,6.240029e-05,1.098231e+03,1.316216e+03,1.577578e+03,7.754960e-07
1.726983e-05,7.352137e-13,7.763305e-11,7.835464e-09,3.558321e-05,5.583839e-05,6.301981e-05,1.155797e+03,1.366261e+03,1.614739e+03,1.349478e-06
2.269511e-05,2.102250e-12,1.583023e-10,1.214300e-08,3.881878e-05,5.691586e-05,6.358105e-05,1.212645e+03,1.415970e+03,1.650277e+03,2.465541e-06
2.982471e-05,5.190386e-12,3.218232e-10,1.785050e-08,4.700191e-05,5.752846e-05,6.390930e-05,1.270828e+03,1.465999e+03,1.687749e+03,4.312377e-06
3.919407e-05,1.273668e-11,5.938083e-10,2.548474e-08,5.157890e-05,5.812621e-05,6.438872e-05,1.329744e+03,1.514932e+03,1.722086e+03,7.182864e-06
5.150678e-05,2.888741e-11,1.034035e-09,3.688434e-08,5.399359e-05,5.870714e-05,6.473902e-05,1.389232e+03,1.564555e+03,1.757501e+03,1.162606e-05
6.768750e-05,6.480682e-11,1.808415e-09,5.304518e-08,5.512836e-05,5.927490e-05,6.513772e-05,1.449423e+03,1.613176e+03,1.790853e+03,1.807612e-05
8.895135e-05,1.165757e-10,2.995688e-09,7.498676e-08,5.585875e-05,5.968978e-05,6.537706e-05,1.507888e+03,1.661678e+03,1.825545e+03,2.752935e-05
1.168952e-04,2.016538e-10,4.623389e-09,1.015451e-07,5.620074e-05,6.000100e-05,6.561428e-05,1.566914e+03,1.709689e+03,1.858827e+03,4.137990e-05
1.536175e-04,3.509214e-10,7.200104e-09,1.419509e-07,5.645829e-05,6.019264e-05,6.582854e-05,1.624245e+03,1.756449e+03,1.892806e+03,6.177126e-05
2.018760e-04,5.241018e-10,1.047995e-08,1.819481e-07,5.666521e-05,6.035097e-05,6.600361e-05,1.681907e+03,1.803075e+03,1.926584e+03,9.147444e-05
2.652948e-04,7.963391e-10,1.446352e-08,2.446604e-07,5.685798e-05,6.049982e-05,6.612104e-05,1.738466e+03,1.847334e+03,1.958413e+03,1.337216e-04
3.486365e-04,1.091228e-09,1.968520e-08,3.149679e-07,5.696978e-05,6.062716e-05,6.623353e-05,1.793875e+03,1.889690e+03,1.987922e+03,1.937553e-04
4.581598e-04,1.449318e-09,2.584595e-08,3.772946e-07,5.705554e-05,6.074012e-05,6.632079e-05,1.846463e+03,1.931692e+03,2.017239e+03,2.800133e-04
