# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl846
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,3.974485e-09,6.276439e-09,9.962150e-09,2.675526e-12,7.082435e-12,1.894096e-11,2.942033e+03,3.017404e+03,3.093946e+03,1.429308e-05
1.314147e-05,5.017442e-09,7.695750e-09,1.182279e-08,4.329302e-12,1.099029e-11,2.706156e-11,2.957896e+03,3.028904e+03,3.100952e+03,1.904946e-05
1.726983e-05,6.356559e-09,9.431668e-09,1.415494e-08,7.006483e-12,1.627447e-11,3.918149e-11,2.973665e+03,3.040398e+03,3.107431e+03,2.537127e-05
2.269511e-05,8.019937e-09,1.163400e-08,1.687478e-08,1.088367e-11,2.286254e-11,5.274041e-11,2.989148e+03,3.051530e+03,3.113976e+03,3.375348e-05
2.982471e-05,1.018603e-08,1.435748e-08,2.024633e-08,1.815877e-11,3.667205e-11,7.531231e-11,3.004037e+03,3.062226e+03,3.120357e+03,4.485173e-05
3.919407e-05,1.291399e-08,1.776565e-08,2.447933e-08,2.921256e-11,5.666437e-11,1.114949e-10,3.018292e+03,3.072481e+03,3.126469e+03,5.954320e-05
5.150678e-05,1.638420e-08,2.198873e-08,2.955386e-08,4.526336e-11,8.346468e-11,1.560384e-10,3.032117e+03,3.082470e+03,3.132767e+03,7.895293e-05
6.768750e-05,2.081659e-08,2.723290e-08,3.571706e-08,7.409385e-11,1.293961e-10,2.259802e-10,3.045790e+03,3.092468e+03,3.138897e+03,1.045339e-04
8.895135e-05,2.639664e-08,3.372802e-08,4.334258e-08,1.178070e-10,1.939893e-10,3.321830e-10,3.058863e+03,3.102013e+03,3.144331e+03,1.381778e-04
1.168952e-04,3.347877e-08,4.197447e-08,5.285255e-08,1.817189e-10,2.964411e-10,4.817440e-10,3.071889e+03,3.111316e+03,3.149985e+03,1.823179e-04
1.536175e-04,4.256315e-08,5.226165e-08,6.438140e-08,3.059737e-10,4.781051e-10,7.304867e-10,3.084315e+03,3.120066e+03,3.155691e+03,2.400048e-04
2.018760e-04,5.412294e-08,6.516933e-08,7.873275e-08,4.989806e-10,7.419944e-10,1.052901e-09,3.096362e+03,3.128681e+03,3.161034e+03,3.150093e-04
2.652948e-04,6.895405e-08,8.141436e-08,9.669882e-08,7.926981e-10,1.116108e-09,1.542158e-09,3.107816e+03,3.136956e+03,3.166369e+03,4.120309e-04
3.486365e-04,8.755294e-08,1.016743e-07,1.188779e-07,1.324372e-09,1.756536e-09,2.421629e-09,3.118969e+03,3.144804e+03,3.171130e+03,5.368169e-04
4.581598e-04,1.110834e-07,1.272782e-07,1.467592e-07,2.138447e-09,2.706252e-09,3.647852e-09,3.129516e+03,3.152405e+03,3.175806e+03,6.961136e-04
6.020894e-04,1.409239e-07,1.594543e-07,1.808706e-07,3.384723e-09,4.209613e-09,5.353072e-09,3.139662e+03,3.159755e+03,3.180430e+03,8.971667e-04
7.912343e-04,1.783684e-07,1.995036e-07,2.229920e-07,5.617989e-09,6.835518e-09,8.135619e-09,3.149098e+03,3.166957e+03,3.184869e+03,1.147646e-03
1.039798e-03,2.251002e-07,2.497847e-07,2.766426e-07,8.972710e-09,1.073744e-08,1.250004e-08,3.158256e+03,3.173750e+03,3.189335e+03,1.455756e-03
1.366448e-03,2.841107e-07,3.125320e-07,3.438036e-07,1.410345e-08,1.662264e-08,1.911952e-08,3.166871e+03,3.180104e+03,3.193306e+03,1.829383e-03
