# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl48
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,6.801444e-15,2.409779e-14,2.332781e-12,3.210409e-05,3.371863e-05,3.532914e-05,8.348822e+02,9.227309e+02,1.034725e+03,1.758430e-07
1.314147e-05,1.765454e-14,3.854414e-14,6.203238e-12,3.228911e-05,3.394113e-05,3.558526e-05,9.032260e+02,9.914762e+02,1.103949e+03,3.430489e-07
1.726983e-05,2.732546e-14,3.211693e-12,9.457873e-12,3.268189e-05,3.442626e-05,3.647136e-05,9.747594e+02,1.063153e+03,1.175548e+03,6.441981e-07
2.269511e-05,2.126454e-12,5.971364e-12,6.348106e-11,3.317112e-05,3.519642e-05,4.479510e-05,1.049508e+03,1.138045e+03,1.248666e+03,1.278556e-06
2.982471e-05,4.648031e-12,2.160885e-11,2.554542e-10,3.398162e-05,3.766748e-05,5.373460e-05,1.126919e+03,1.214820e+03,1.323303e+03,2.561176e-06
3.919407e-05,1.166554e-11,8.763412e-11,7.588177e-10,3.634650e-05,4.835756e-05,5.687037e-05,1.207054e+03,1.294023e+03,1.399677e+03,4.737729e-06
5.150678e-05,6.366168e-11,4.556904e-10,2.595686e-09,4.548630e-05,5.485907e-05,5.944144e-05,1.289195e+03,1.374095e+03,1.478140e+03,8.184256e-06
6.768750e-05,3.856619e-10,1.754234e-09,7.880747e-09,5.401909e-05,5.800499e-05,6.097284e-05,1.373271e+03,1.456392e+03,1.557602e+03,1.339724e-05
8.895135e-05,1.535194e-09,5.390297e-09,2.012980e-08,5.635906e-05,5.901496e-05,6.161754e-05,1.459783e+03,1.539766e+03,1.638073e+03,2.152812e-05
1.168952e-04,4.916682e-09,1.413123e-08,4.379300e-08,5.651996e-05,5.918719e-05,6.172748e-05,1.547279e+03,1.624445e+03,1.718883e+03,3.408379e-05
1.536175e-04,1.399107e-08,3.384406e-08,9.209614e-08,5.646910e-05,5.915026e-05,6.170162e-05,1.635873e+03,1.709953e+03,1.799653e+03,5.321471e-05
2.018760e-04,3.436929e-08,7.508750e-08,1.873569e-07,5.612535e-05,5.875321e-05,6.133004e-05,1.724646e+03,1.795310e+03,1.880309e+03,8.276603e-05
2.652948e-04,7.555208e-08,1.565975e-07,3.519776e-07,5.537366e-05,5.799200e-05,6.050300e-05,1.813493e+03,1.880800e+03,1.960602e+03,1.280983e-04
3.486365e-04,1.573393e-07,3.054932e-07,6.136142e-07,5.427651e-05,5.687699e-05,5.933266e-05,1.902236e+03,1.965714e+03,2.040141e+03,1.953190e-04
4.581598e-04,2.986708e-07,5.366516e-07,9.689775e-07,5.261799e-05,5.515880e-05,5.758061e-05,1.990066e+03,2.049400e+03,2.118259e+03,2.934150e-04
6.020894e-04,5.212479e-07,8.655650e-07,1.468829e-06,5.060624e-05,5.306966e-05,5.538058e-05,2.076741e+03,2.131231e+03,2.194244e+03,4.360738e-04
7.912343e-04,8.599843e-07,1.330620e-06,2.162151e-06,4.818233e-05,5.050679e-05,5.272602e-05,2.161870e+03,2.211053e+03,2.268485e+03,6.406454e-04
1.039798e-03,1.308246e-06,1.926355e-06,2.925180e-06,4.562757e-05,4.778629e-05,4.992057e-05,2.244068e+03,2.288582e+03,2.340063e+03,9.288523e-04
1.366448e-03,1.833432e-06,2.625404e-06,3.713337e-06,4.260076e-05,4.463942e-05,4.664755e-05,2.324158e+03,2.363751e+03,2.409105e+03,1.328114e-03
1.795714e-03,2.454779e-06,3.365394e-06,4.562816e-06,3.943970e-05,4.133960e-05,4.323927e-05,2.400637e+03,2.435258e+03,2.474511e+03,1.867861e-03
2.359833e-03,3.080968e-06,4.108285e-06,5.354323e-06,3.635807e-05,3.814595e-05,3.991151e-05,2.472759e+03,2.502762e+03,2.536669e+03,2.576385e-03
3.101169e-03,3.700622e-06,4.801151e-06,6.038831e-06,3.348964e-05,3.511917e-05,3.681337e-05,2.540866e+03,2.566376e+03,2.594698e+03,3.492904e-03
4.075393e-03,4.258098e-06,5.410968e-06,6.678248e-06,3.079076e-05,3.226838e-05,3.384274e-05,2.604191e+03,2.625536e+03,2.647825e+03,4.671004e-03
5.355667e-03,4.679374e-06,5.879440e-06,7.155886e-06,2.893960e-05,3.030684e-05,3.173166e-05,2.661686e+03,2.679379e+03,2.696738e+03,6.167542e-03
7.038136e-03,4.990397e-06,6.207496e-06,7.507773e-06,2.763071e-05,2.891459e-05,3.022085e-05,2.713507e+03,2.727670e+03,2.740972e+03,8.042388e-03
9.249147e-03,5.197952e-06,6.451850e-06,7.776846e-06,2.674282e-05,2.800469e-05,2.919703e-05,2.759234e+03,2.770332e+03,2.780379e+03,1.037054e-02
1.215474e-02,5.309724e-06,6.618544e-06,7.996507e-06,2.682725e-05,2.811160e-05,2.929672e-05,2.797709e+03,2.806991e+03,2.815427e+03,1.322324e-02
1.597312e-02,5.335214e-06,6.661562e-06,8.076465e-06,2.738730e-05,2.873211e-05,2.997422e-05,2.827858e+03,2.837493e+03,2.845979e+03,1.665289e-02
2.099104e-02,5.284036e-06,6.620857e-06,7.999018e-06,2.839538e-05,2.983318e-05,3.117673e-05,2.850275e+03,2.861713e+03,2.871836e+03,2.071913e-02
2.758532e-02,5.120887e-06,6.429633e-06,7.779171e-06,3.025134e-05,3.181027e-05,3.329067e-05,2.865244e+03,2.879493e+03,2.892014e+03,2.544487e-02
3.625117e-02,4.853869e-06,6.131142e-06,7.428475e-06,3.239385e-05,3.412702e-05,3.570328e-05,2.873367e+03,2.890431e+03,2.905982e+03,3.080027e-02
4.763938e-02,4.565273e-06,5.772603e-06,7.008231e-06,3.480665e-05,3.664924e-05,3.829060e-05,2.880154e+03,2.895552e+03,2.913672e+03,3.703071e-02
6.260517e-02,4.406033e-06,5.523164e-06,6.690955e-06,3.687089e-05,3.862214e-05,4.027528e-05,2.901716e+03,2.912771e+03,2.924907e+03,4.496891e-02
8.227241e-02,4.463107e-06,5.559229e-06,6.718052e-06,3.727601e-05,3.892307e-05,4.052730e-05,2.937228e+03,2.947391e+03,2.957644e+03,5.578574e-02
1.081181e-01,4.713180e-06,5.852388e-06,7.118948e-06,3.633643e-05,3.780810e-05,3.929450e-05,2.988133e+03,3.000309e+03,3.013022e+03,7.095739e-02
1.420831e-01,5.130273e-06,6.381185e-06,7.767159e-06,3.432200e-05,3.556322e-05,3.682703e-05,3.056990e+03,3.073450e+03,3.088848e+03,9.267068e-02
1.867181e-01,5.740814e-06,7.146872e-06,8.718333e-06,3.064411e-05,3.157106e-05,3.251291e-05,3.146770e+03,3.167565e+03,3.186104e+03,1.241090e-01
2.453751e-01,6.407881e-06,7.987595e-06,9.744587e-06,2.540785e-05,2.597257e-05,2.650598e-05,3.259475e+03,3.284517e+03,3.305951e+03,1.698777e-01
3.224591e-01,6.907211e-06,8.613959e-06,1.049014e-05,1.895593e-05,1.934392e-05,1.973358e-05,3.397313e+03,3.426222e+03,3.452308e+03,2.342087e-01
4.237587e-01,7.186542e-06,8.960752e-06,1.086997e-05,1.275061e-05,1.314267e-05,1.358140e-05,3.561351e+03,3.590636e+03,3.616248e+03,3.183362e-01
5.568814e-01,7.005830e-06,8.685793e-06,1.053424e-05,8.298940e-06,8.636676e-06,9.020105e-06,3.729552e+03,3.755320e+03,3.778604e+03,4.128748e-01
7.318242e-01,6.566055e-06,8.151342e-06,9.847981e-06,5.416309e-06,5.707664e-06,6.008183e-06,3.896464e+03,3.918569e+03,3.938851e+03,4.804620e-01
9.617249e-01,5.953404e-06,7.379847e-06,8.941651e-06,3.587377e-06,3.850157e-06,4.119948e-06,4.059609e+03,4.079223e+03,4.097398e+03,4.412438e-01
1.263848e+00,5.370831e-06,6.679680e-06,8.109962e-06,2.427060e-06,2.710591e-06,3.004440e-06,4.211589e+03,4.235767e+03,4.259782e+03,2.696016e-01
1.660883e+00,4.944355e-06,6.181553e-06,7.525703e-06,1.693447e-06,2.007440e-06,2.340433e-06,4.350731e+03,4.387727e+03,4.427372e+03,8.874629e-02
2.182645e+00,4.518843e-06,5.691057e-06,6.935541e-06,1.228124e-06,1.568672e-06,1.959696e-06,4.477179e+03,4.534887e+03,4.596599e+03,1.070849e-02
2.868317e+00,4.102307e-06,5.179191e-06,6.355997e-06,9.157186e-07,1.256026e-06,1.661399e-06,4.596946e+03,4.678261e+03,4.768025e+03,2.154387e-04
