# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl411
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,6.190840e-11,1.052843e-08,2.967902e-07,2.212409e-05,2.516398e-05,2.812457e-05,1.289844e+03,1.597217e+03,1.866759e+03,2.132389e-06
1.314147e-05,1.596161e-10,1.439748e-08,3.069637e-07,2.273485e-05,2.529993e-05,2.816655e-05,1.338705e+03,1.627056e+03,1.882596e+03,2.904490e-06
1.726983e-05,3.029959e-10,1.893562e-08,3.095154e-07,2.311369e-05,2.537940e-05,2.822191e-05,1.388158e+03,1.658661e+03,1.899951e+03,3.957226e-06
2.269511e-05,6.741969e-10,2.361384e-08,3.176830e-07,2.337466e-05,2.549021e-05,2.825371e-05,1.437803e+03,1.691301e+03,1.919673e+03,5.397344e-06
2.982471e-05,1.241232e-09,3.064234e-08,3.386441e-07,2.355597e-05,2.556320e-05,2.830705e-05,1.488159e+03,1.724277e+03,1.939388e+03,7.368243e-06
3.919407e-05,2.431449e-09,3.943141e-08,3.570936e-07,2.370792e-05,2.565650e-05,2.834079e-05,1.539011e+03,1.758376e+03,1.960692e+03,1.007161e-05
5.150678e-05,3.966887e-09,4.949820e-08,3.711663e-07,2.386438e-05,2.575668e-05,2.837400e-05,1.588243e+03,1.791861e+03,1.980716e+03,1.379691e-05
6.768750e-05,6.921539e-09,6.371454e-08,3.911815e-07,2.396957e-05,2.584509e-05,2.844160e-05,1.638722e+03,1.827654e+03,2.002149e+03,1.891503e-05
8.895135e-05,1.085478e-08,7.958952e-08,4.191035e-07,2.405213e-05,2.591926e-05,2.849590e-05,1.688849e+03,1.864212e+03,2.026274e+03,2.592828e-05
1.168952e-04,1.680240e-08,9.919163e-08,4.613431e-07,2.411478e-05,2.597579e-05,2.851473e-05,1.740094e+03,1.899950e+03,2.050885e+03,3.554882e-05
1.536175e-04,2.633983e-08,1.233738e-07,5.017697e-07,2.418609e-05,2.605190e-05,2.858954e-05,1.790631e+03,1.936258e+03,2.075483e+03,4.872121e-05
2.018760e-04,3.870102e-08,1.518026e-07,5.418599e-07,2.424794e-05,2.612370e-05,2.861607e-05,1.838875e+03,1.974561e+03,2.103992e+03,6.672660e-05
2.652948e-04,5.463247e-08,1.865819e-07,5.937351e-07,2.430128e-05,2.618539e-05,2.864217e-05,1.888858e+03,2.014944e+03,2.133406e+03,9.139063e-05
3.486365e-04,7.652296e-08,2.343420e-07,6.644909e-07,2.437283e-05,2.627122e-05,2.866691e-05,1.940408e+03,2.055655e+03,2.162555e+03,1.251934e-04
4.581598e-04,1.032367e-07,2.843098e-07,7.253229e-07,2.444079e-05,2.632714e-05,2.868422e-05,1.992224e+03,2.097152e+03,2.193547e+03,1.714717e-04
6.020894e-04,1.395465e-07,3.436054e-07,7.994218e-07,2.450350e-05,2.639095e-05,2.870977e-05,2.043710e+03,2.137423e+03,2.225822e+03,2.348050e-04
7.912343e-04,1.850051e-07,4.199972e-07,9.061154e-07,2.457665e-05,2.645978e-05,2.874676e-05,2.094196e+03,2.179927e+03,2.259215e+03,3.212242e-04
1.039798e-03,2.388755e-07,4.959443e-07,9.941619e-07,2.464340e-05,2.650625e-05,2.875092e-05,2.143273e+03,2.222061e+03,2.293140e+03,4.389074e-04
1.366448e-03,2.992675e-07,5.838435e-07,1.099036e-06,2.471622e-05,2.653925e-05,2.872807e-05,2.193148e+03,2.264403e+03,2.327628e+03,5.992186e-04
1.795714e-03,3.800244e-07,6.909273e-07,1.242692e-06,2.477139e-05,2.654801e-05,2.871612e-05,2.243673e+03,2.306829e+03,2.362844e+03,8.163454e-04
2.359833e-03,4.627824e-07,8.000263e-07,1.358017e-06,2.479983e-05,2.655385e-05,2.867080e-05,2.294992e+03,2.350188e+03,2.399531e+03,1.109564e-03
3.101169e-03,5.585138e-07,9.178386e-07,1.478781e-06,2.481296e-05,2.653462e-05,2.860122e-05,2.346532e+03,2.393374e+03,2.436258e+03,1.505470e-03
4.075393e-03,6.672475e-07,1.061589e-06,1.639147e-06,2.481282e-05,2.650981e-05,2.852578e-05,2.398506e+03,2.437082e+03,2.474760e+03,2.036506e-03
5.355667e-03,7.774944e-07,1.207388e-06,1.789530e-06,2.476354e-05,2.642992e-05,2.843182e-05,2.451121e+03,2.481747e+03,2.512859e+03,2.750288e-03
7.038136e-03,8.894595e-07,1.376281e-06,1.970605e-06,2.467883e-05,2.632998e-05,2.832704e-05,2.502736e+03,2.526850e+03,2.552423e+03,3.696053e-03
9.249147e-03,1.011900e-06,1.550388e-06,2.196967e-06,2.452627e-05,2.620310e-05,2.817555e-05,2.550913e+03,2.572161e+03,2.593034e+03,4.931396e-03
1.215474e-02,1.105761e-06,1.707669e-06,2.382108e-06,2.435281e-05,2.605818e-05,2.806023e-05,2.597119e+03,2.615943e+03,2.636586e+03,6.554716e-03
