# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl317
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,2.562700e-12,1.785485e-11,1.223828e-09,3.274589e-05,3.649247e-05,5.581957e-05,1.032461e+03,1.190341e+03,1.369199e+03,1.184789e-06
1.314147e-05,6.897049e-12,1.266921e-10,3.397804e-09,3.344964e-05,4.626750e-05,5.699072e-05,1.102993e+03,1.259126e+03,1.434382e+03,1.912530e-06
1.726983e-05,1.115705e-11,4.769446e-10,7.379658e-09,3.470669e-05,5.329900e-05,5.784977e-05,1.175553e+03,1.329085e+03,1.499679e+03,3.041652e-06
2.269511e-05,7.842143e-11,1.246039e-09,1.805748e-08,4.389394e-05,5.486105e-05,5.854596e-05,1.250768e+03,1.400343e+03,1.564814e+03,4.768769e-06
2.982471e-05,3.220703e-10,3.881310e-09,3.802232e-08,5.136355e-05,5.553970e-05,5.898851e-05,1.326689e+03,1.473058e+03,1.630609e+03,7.387488e-06
3.919407e-05,9.706786e-10,1.044949e-08,7.277404e-08,5.287143e-05,5.597660e-05,5.913409e-05,1.403700e+03,1.545294e+03,1.696755e+03,1.132809e-05
5.150678e-05,3.121588e-09,2.331495e-08,1.407212e-07,5.352978e-05,5.610282e-05,5.906445e-05,1.482177e+03,1.619045e+03,1.762396e+03,1.717091e-05
6.768750e-05,9.300213e-09,4.922739e-08,2.465036e-07,5.343440e-05,5.589017e-05,5.884571e-05,1.562013e+03,1.692373e+03,1.828392e+03,2.601017e-05
8.895135e-05,2.272500e-08,1.014965e-07,4.034002e-07,5.268643e-05,5.508394e-05,5.800834e-05,1.642032e+03,1.766212e+03,1.894999e+03,3.945251e-05
1.168952e-04,4.874020e-08,1.866173e-07,6.467678e-07,5.176614e-05,5.413868e-05,5.698274e-05,1.722079e+03,1.838671e+03,1.960053e+03,5.939423e-05
1.536175e-04,1.003710e-07,3.212001e-07,9.770713e-07,5.060494e-05,5.294629e-05,5.575572e-05,1.801591e+03,1.910763e+03,2.023486e+03,8.859033e-05
2.018760e-04,1.910541e-07,5.330587e-07,1.396250e-06,4.889648e-05,5.115391e-05,5.390930e-05,1.881184e+03,1.981752e+03,2.086590e+03,1.307559e-04
2.652948e-04,3.398314e-07,8.349819e-07,1.927832e-06,4.731987e-05,4.950063e-05,5.212520e-05,1.959616e+03,2.052223e+03,2.148304e+03,1.915290e-04
3.486365e-04,5.659487e-07,1.219763e-06,2.562523e-06,4.537668e-05,4.746526e-05,4.996603e-05,2.035987e+03,2.120912e+03,2.207570e+03,2.782895e-04
4.581598e-04,8.570689e-07,1.702306e-06,3.283215e-06,4.333807e-05,4.532810e-05,4.765201e-05,2.111193e+03,2.187576e+03,2.264838e+03,4.005817e-04
6.020894e-04,1.244585e-06,2.297124e-06,4.015588e-06,4.157732e-05,4.343919e-05,4.560576e-05,2.184121e+03,2.252196e+03,2.319131e+03,5.707747e-04
7.912343e-04,1.728728e-06,2.928326e-06,4.815461e-06,3.921033e-05,4.097258e-05,4.304324e-05,2.254363e+03,2.314077e+03,2.372295e+03,8.050417e-04
1.039798e-03,2.261258e-06,3.642738e-06,5.512106e-06,3.738826e-05,3.913420e-05,4.108491e-05,2.321085e+03,2.372348e+03,2.422385e+03,1.123051e-03
1.366448e-03,2.853745e-06,4.278704e-06,6.212913e-06,3.558406e-05,3.730653e-05,3.919618e-05,2.384887e+03,2.428510e+03,2.469557e+03,1.547859e-03
1.795714e-03,3.413846e-06,4.962751e-06,6.859805e-06,3.376821e-05,3.544026e-05,3.725729e-05,2.443864e+03,2.480446e+03,2.514222e+03,2.106180e-03
2.359833e-03,3.922291e-06,5.536713e-06,7.396580e-06,3.250901e-05,3.410805e-05,3.584062e-05,2.499148e+03,2.528683e+03,2.555551e+03,2.826659e-03
3.101169e-03,4.363371e-06,6.014150e-06,7.817138e-06,3.157380e-05,3.308784e-05,3.477771e-05,2.549649e+03,2.573116e+03,2.593882e+03,3.748839e-03
4.075393e-03,4.724667e-06,6.373415e-06,8.178170e-06,3.084107e-05,3.225356e-05,3.388080e-05,2.594877e+03,2.613070e+03,2.628958e+03,4.914981e-03
5.355667e-03,4.978234e-06,6.619052e-06,8.397383e-06,3.077943e-05,3.217971e-05,3.380460e-05,2.635088e+03,2.648692e+03,2.660115e+03,6.365026e-03
7.038136e-03,5.069169e-06,6.727708e-06,8.482998e-06,3.103322e-05,3.244053e-05,3.406470e-05,2.668384e+03,2.679584e+03,2.689104e+03,8.141343e-03
9.249147e-03,5.083518e-06,6.728860e-06,8.491311e-06,3.154660e-05,3.299972e-05,3.464820e-05,2.694240e+03,2.705580e+03,2.715204e+03,1.028551e-02
1.215474e-02,4.967025e-06,6.558525e-06,8.292588e-06,3.271032e-05,3.421816e-05,3.591319e-05,2.713861e+03,2.726930e+03,2.738015e+03,1.283222e-02
