# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl752A
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,8.499026e-15,1.609856e-14,1.661927e-12,1.360997e-05,1.404469e-05,1.457871e-05,8.851427e+02,9.599909e+02,1.047149e+03,8.888859e-08
1.314147e-05,1.365901e-14,9.871427e-13,3.710754e-12,1.376302e-05,1.425214e-05,1.484553e-05,9.567945e+02,1.032669e+03,1.119907e+03,1.857419e-07
1.726983e-05,8.256441e-13,2.753438e-12,5.585730e-12,1.399184e-05,1.450842e-05,1.540966e-05,1.031570e+03,1.108102e+03,1.195082e+03,3.719193e-07
2.269511e-05,2.378184e-12,4.182486e-12,4.823597e-11,1.424211e-05,1.500013e-05,2.093918e-05,1.109945e+03,1.186007e+03,1.272257e+03,7.163037e-07
2.982471e-05,3.830042e-12,3.590057e-11,2.318422e-10,1.486627e-05,1.954756e-05,2.330401e-05,1.190825e+03,1.266576e+03,1.351487e+03,1.445254e-06
3.919407e-05,3.311232e-11,1.862389e-10,8.298866e-10,1.919231e-05,2.254349e-05,2.448586e-05,1.274505e+03,1.349369e+03,1.432702e+03,2.918578e-06
5.150678e-05,1.898689e-10,7.038015e-10,2.374704e-09,2.253081e-05,2.423759e-05,2.519666e-05,1.360205e+03,1.433772e+03,1.515010e+03,5.390094e-06
6.768750e-05,7.881317e-10,2.201257e-09,6.309828e-09,2.396239e-05,2.472445e-05,2.554832e-05,1.448173e+03,1.520122e+03,1.598465e+03,9.288640e-06
8.895135e-05,2.626443e-09,5.989143e-09,1.690804e-08,2.416773e-05,2.491267e-05,2.575303e-05,1.537716e+03,1.607604e+03,1.682869e+03,1.533990e-05
1.168952e-04,7.609908e-09,1.586651e-08,4.094909e-08,2.439375e-05,2.515542e-05,2.598892e-05,1.628697e+03,1.695375e+03,1.768425e+03,2.486730e-05
1.536175e-04,1.993167e-08,3.968217e-08,9.059098e-08,2.460408e-05,2.535552e-05,2.619139e-05,1.720608e+03,1.784496e+03,1.853617e+03,3.963418e-05
2.018760e-04,4.659105e-08,8.891424e-08,1.797623e-07,2.475992e-05,2.551892e-05,2.637324e-05,1.812936e+03,1.873567e+03,1.938630e+03,6.274527e-05
2.652948e-04,1.006800e-07,1.830174e-07,3.302575e-07,2.496536e-05,2.574840e-05,2.663389e-05,1.905163e+03,1.962020e+03,2.023423e+03,9.899782e-05
3.486365e-04,2.094130e-07,3.542940e-07,5.843957e-07,2.524097e-05,2.605582e-05,2.695905e-05,1.996802e+03,2.049848e+03,2.106715e+03,1.538246e-04
4.581598e-04,4.020462e-07,6.307230e-07,9.864160e-07,2.554498e-05,2.637353e-05,2.728829e-05,2.087128e+03,2.136108e+03,2.188585e+03,2.355536e-04
6.020894e-04,7.212478e-07,1.044901e-06,1.589805e-06,2.581827e-05,2.663816e-05,2.754040e-05,2.176292e+03,2.221021e+03,2.268959e+03,3.569314e-04
7.912343e-04,1.237319e-06,1.676806e-06,2.418119e-06,2.593869e-05,2.674030e-05,2.762360e-05,2.262915e+03,2.303506e+03,2.346984e+03,5.338827e-04
1.039798e-03,1.924566e-06,2.547590e-06,3.394775e-06,2.575045e-05,2.658373e-05,2.747538e-05,2.347281e+03,2.383756e+03,2.421897e+03,7.870203e-04
1.366448e-03,2.767806e-06,3.552285e-06,4.562666e-06,2.511204e-05,2.606897e-05,2.702230e-05,2.428527e+03,2.460403e+03,2.493390e+03,1.141153e-03
1.795714e-03,3.829471e-06,4.734251e-06,5.817424e-06,2.388349e-05,2.500375e-05,2.602651e-05,2.505727e+03,2.533415e+03,2.561268e+03,1.618072e-03
2.359833e-03,4.891359e-06,5.877216e-06,6.977566e-06,2.244433e-05,2.363776e-05,2.473714e-05,2.578855e+03,2.602405e+03,2.625755e+03,2.245859e-03
3.101169e-03,5.851265e-06,6.868362e-06,8.017447e-06,2.097236e-05,2.210035e-05,2.318874e-05,2.647333e+03,2.666969e+03,2.686040e+03,3.063608e-03
4.075393e-03,6.636038e-06,7.694318e-06,8.866367e-06,1.956529e-05,2.053600e-05,2.151614e-05,2.710204e+03,2.726294e+03,2.741508e+03,4.113856e-03
5.355667e-03,7.185426e-06,8.291655e-06,9.535941e-06,1.855781e-05,1.939025e-05,2.019932e-05,2.767700e+03,2.780290e+03,2.791665e+03,5.449542e-03
7.038136e-03,7.535126e-06,8.677357e-06,9.931769e-06,1.792549e-05,1.859280e-05,1.926362e-05,2.818738e+03,2.828508e+03,2.836849e+03,7.122351e-03
9.249147e-03,7.731624e-06,8.877036e-06,1.013476e-05,1.754895e-05,1.809849e-05,1.868739e-05,2.862906e+03,2.870512e+03,2.877082e+03,9.185772e-03
1.215474e-02,7.796191e-06,8.952550e-06,1.020697e-05,1.757354e-05,1.810930e-05,1.868810e-05,2.899443e+03,2.905971e+03,2.912012e+03,1.170587e-02
1.597312e-02,7.643030e-06,8.787108e-06,9.995709e-06,1.792141e-05,1.848522e-05,1.913199e-05,2.927906e+03,2.935256e+03,2.941485e+03,1.475322e-02
2.099104e-02,7.368320e-06,8.470730e-06,9.635637e-06,1.848536e-05,1.910917e-05,1.982629e-05,2.948562e+03,2.957531e+03,2.965186e+03,1.840214e-02
2.758532e-02,6.890903e-06,7.945735e-06,9.031457e-06,1.940295e-05,2.009769e-05,2.090640e-05,2.962038e+03,2.972870e+03,2.982319e+03,2.273358e-02
3.625117e-02,6.249068e-06,7.237019e-06,8.244250e-06,2.041169e-05,2.115825e-05,2.203344e-05,2.968076e+03,2.981185e+03,2.992341e+03,2.779053e-02
4.763938e-02,5.642995e-06,6.495592e-06,7.402772e-06,2.139920e-05,2.212420e-05,2.286606e-05,2.975979e+03,2.985396e+03,2.996129e+03,3.384433e-02
6.260517e-02,5.307822e-06,6.090150e-06,6.934959e-06,2.194680e-05,2.259989e-05,2.324580e-05,2.998714e+03,3.006481e+03,3.014433e+03,4.163769e-02
8.227241e-02,5.325168e-06,6.103572e-06,6.959344e-06,2.193557e-05,2.251266e-05,2.310939e-05,3.037140e+03,3.045359e+03,3.054171e+03,5.221856e-02
1.081181e-01,5.679918e-06,6.523436e-06,7.443813e-06,2.148089e-05,2.198631e-05,2.251313e-05,3.093179e+03,3.103263e+03,3.114297e+03,6.701501e-02
1.420831e-01,6.344685e-06,7.291616e-06,8.338626e-06,2.061319e-05,2.104535e-05,2.148585e-05,3.169138e+03,3.181080e+03,3.194068e+03,8.826337e-02
1.867181e-01,7.397645e-06,8.506919e-06,9.738623e-06,1.903552e-05,1.936670e-05,1.968744e-05,3.266704e+03,3.280518e+03,3.295237e+03,1.195410e-01
2.453751e-01,8.782403e-06,1.009235e-05,1.152824e-05,1.656127e-05,1.682174e-05,1.709836e-05,3.388024e+03,3.403458e+03,3.419785e+03,1.666216e-01
