# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl617B
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,1.024228e-14,2.471827e-14,3.327786e-12,2.855057e-05,2.971890e-05,3.111168e-05,8.658088e+02,9.504091e+02,1.058605e+03,1.035289e-07
1.314147e-05,1.842743e-14,1.033722e-12,6.348933e-12,2.881046e-05,3.005182e-05,3.168655e-05,9.357670e+02,1.021006e+03,1.129383e+03,2.116607e-07
1.726983e-05,3.708652e-13,3.880860e-12,1.125125e-11,2.923797e-05,3.055544e-05,3.307765e-05,1.009012e+03,1.093819e+03,1.201846e+03,4.161499e-07
2.269511e-05,2.850514e-12,6.228740e-12,8.309419e-11,2.971931e-05,3.139107e-05,4.504802e-05,1.084763e+03,1.169771e+03,1.275952e+03,7.867899e-07
2.982471e-05,4.880048e-12,4.384124e-11,3.793211e-10,3.059478e-05,3.835409e-05,4.902501e-05,1.163326e+03,1.247382e+03,1.352334e+03,1.557218e-06
3.919407e-05,3.319450e-11,2.012539e-10,1.266831e-09,3.639885e-05,4.591245e-05,5.149248e-05,1.243896e+03,1.327342e+03,1.430834e+03,3.104857e-06
5.150678e-05,1.661397e-10,6.684445e-10,3.336180e-09,4.415859e-05,5.023073e-05,5.313962e-05,1.326763e+03,1.410103e+03,1.509536e+03,5.734617e-06
6.768750e-05,6.349886e-10,2.226899e-09,9.349033e-09,4.966057e-05,5.185360e-05,5.407027e-05,1.412156e+03,1.492891e+03,1.590111e+03,9.897618e-06
8.895135e-05,2.039234e-09,6.982106e-09,2.420176e-08,5.039642e-05,5.235977e-05,5.446588e-05,1.499172e+03,1.577613e+03,1.671758e+03,1.624702e-05
1.168952e-04,6.371078e-09,1.910847e-08,5.551393e-08,5.064781e-05,5.262808e-05,5.478867e-05,1.587652e+03,1.663929e+03,1.753427e+03,2.621225e-05
1.536175e-04,1.829573e-08,4.631819e-08,1.165074e-07,5.083348e-05,5.279834e-05,5.494351e-05,1.676612e+03,1.749980e+03,1.835206e+03,4.156885e-05
2.018760e-04,4.526722e-08,9.988856e-08,2.192209e-07,5.064394e-05,5.260073e-05,5.474200e-05,1.766084e+03,1.836073e+03,1.916544e+03,6.535382e-05
2.652948e-04,1.001000e-07,1.950890e-07,3.971997e-07,5.014186e-05,5.210945e-05,5.425305e-05,1.855525e+03,1.921393e+03,1.997651e+03,1.027160e-04
3.486365e-04,2.045919e-07,3.623675e-07,7.030079e-07,4.934189e-05,5.128317e-05,5.343428e-05,1.944532e+03,2.006348e+03,2.076339e+03,1.595316e-04
4.581598e-04,3.750786e-07,6.270985e-07,1.128352e-06,4.816748e-05,5.009056e-05,5.218430e-05,2.033235e+03,2.089996e+03,2.155248e+03,2.439553e-04
6.020894e-04,6.332614e-07,1.026180e-06,1.676602e-06,4.657840e-05,4.841848e-05,5.044952e-05,2.120082e+03,2.172385e+03,2.231281e+03,3.685386e-04
7.912343e-04,1.008255e-06,1.570024e-06,2.388286e-06,4.442027e-05,4.615469e-05,4.806519e-05,2.205344e+03,2.252814e+03,2.306542e+03,5.509229e-04
1.039798e-03,1.496917e-06,2.200291e-06,3.223524e-06,4.170216e-05,4.332267e-05,4.506264e-05,2.288024e+03,2.330785e+03,2.378675e+03,8.129379e-04
1.366448e-03,2.088119e-06,2.890980e-06,3.994631e-06,3.844857e-05,3.998800e-05,4.156416e-05,2.367585e+03,2.405022e+03,2.447294e+03,1.183200e-03
1.795714e-03,2.709261e-06,3.620529e-06,4.841164e-06,3.484270e-05,3.634319e-05,3.779313e-05,2.443648e+03,2.476494e+03,2.513351e+03,1.693927e-03
2.359833e-03,3.287146e-06,4.264033e-06,5.484946e-06,3.128429e-05,3.271075e-05,3.410953e-05,2.515675e+03,2.544089e+03,2.575816e+03,2.375918e-03
3.101169e-03,3.800846e-06,4.788082e-06,6.040996e-06,2.800698e-05,2.931942e-05,3.061346e-05,2.583240e+03,2.607638e+03,2.633722e+03,3.270546e-03
4.075393e-03,4.186953e-06,5.184435e-06,6.422896e-06,2.502793e-05,2.619516e-05,2.734942e-05,2.646275e+03,2.665813e+03,2.686793e+03,4.428619e-03
5.355667e-03,4.440993e-06,5.460698e-06,6.671664e-06,2.298569e-05,2.399969e-05,2.497477e-05,2.703423e+03,2.719003e+03,2.735329e+03,5.904526e-03
7.038136e-03,4.592702e-06,5.616967e-06,6.807028e-06,2.155290e-05,2.243349e-05,2.328135e-05,2.754793e+03,2.766929e+03,2.779266e+03,7.760116e-03
9.249147e-03,4.659662e-06,5.695193e-06,6.876161e-06,2.060507e-05,2.135921e-05,2.213717e-05,2.799497e+03,2.808958e+03,2.818389e+03,1.006205e-02
1.215474e-02,4.685698e-06,5.742560e-06,6.912736e-06,2.045412e-05,2.119699e-05,2.202107e-05,2.836582e+03,2.845153e+03,2.853191e+03,1.287913e-02
1.597312e-02,4.640139e-06,5.700648e-06,6.851494e-06,2.078825e-05,2.159335e-05,2.250368e-05,2.865655e+03,2.875137e+03,2.883526e+03,1.627275e-02
2.099104e-02,4.566187e-06,5.626000e-06,6.758740e-06,2.155752e-05,2.244189e-05,2.343736e-05,2.887123e+03,2.898639e+03,2.908712e+03,2.031050e-02
2.758532e-02,4.404910e-06,5.468317e-06,6.570853e-06,2.308279e-05,2.409003e-05,2.520151e-05,2.901192e+03,2.915459e+03,2.928171e+03,2.504833e-02
3.625117e-02,4.181655e-06,5.215560e-06,6.292583e-06,2.495545e-05,2.606658e-05,2.729140e-05,2.908323e+03,2.925829e+03,2.941123e+03,3.049891e-02
4.763938e-02,3.956685e-06,4.931822e-06,5.962609e-06,2.710506e-05,2.828468e-05,2.947474e-05,2.917068e+03,2.931182e+03,2.947652e+03,3.668475e-02
6.260517e-02,3.938105e-06,4.866764e-06,5.868467e-06,2.956578e-05,3.064723e-05,3.177536e-05,2.939628e+03,2.950569e+03,2.961274e+03,4.420375e-02
8.227241e-02,4.073723e-06,5.026732e-06,6.070868e-06,3.049372e-05,3.149006e-05,3.254488e-05,2.975946e+03,2.987991e+03,2.999975e+03,5.447323e-02
1.081181e-01,4.381549e-06,5.395640e-06,6.519758e-06,2.985881e-05,3.073531e-05,3.164240e-05,3.030302e+03,3.045060e+03,3.060084e+03,6.926664e-02
1.420831e-01,4.814300e-06,5.927967e-06,7.176538e-06,2.796015e-05,2.865704e-05,2.937611e-05,3.105524e+03,3.123483e+03,3.141343e+03,9.105529e-02
1.867181e-01,5.359526e-06,6.588313e-06,7.981072e-06,2.424563e-05,2.470774e-05,2.522254e-05,3.203949e+03,3.224432e+03,3.244122e+03,1.238178e-01
