# Supplementary data for thermal dissociation of water in M dwarf atmospheres
# Target: gl514
# Generated on: 2025-06-10 10:49:50
# Authors: [Author names to be filled]
# Contact: [Contact information to be filled]
#
# Data description:
# This file contains atmospheric profiles from Bayesian retrieval analysis
# showing thermal dissociation of water molecules in M dwarf stellar atmospheres.
#
# Column descriptions:
# pressure_bar: Atmospheric pressure in bar
# OH_vmr_q16: OH volume mixing ratio 16th percentile (1-sigma lower bound)
# OH_vmr_q50: OH volume mixing ratio 50th percentile (median)
# OH_vmr_q84: OH volume mixing ratio 84th percentile (1-sigma upper bound)
# H2O_vmr_q16: H2O volume mixing ratio 16th percentile (1-sigma lower bound)
# H2O_vmr_q50: H2O volume mixing ratio 50th percentile (median)
# H2O_vmr_q84: H2O volume mixing ratio 84th percentile (1-sigma upper bound)
# temperature_q16: Temperature 16th percentile in Kelvin (1-sigma lower bound)
# temperature_q50: Temperature 50th percentile in Kelvin (median)
# temperature_q84: Temperature 84th percentile in Kelvin (1-sigma upper bound)
# emission_contribution: Integrated emission contribution function
#
# Units:
# Pressure: bar
# Volume mixing ratios: dimensionless
# Temperature: Kelvin
# Emission contribution: dimensionless (normalized)
#
# Notes:
# - Each row corresponds to a different atmospheric layer
# - Pressure increases from top to bottom of atmosphere
# - VMR uncertainties represent 1-sigma (68% confidence) intervals
# - Temperature uncertainties represent 1-sigma (68% confidence) intervals
#
pressure_bar,OH_vmr_q16,OH_vmr_q50,OH_vmr_q84,H2O_vmr_q16,H2O_vmr_q50,H2O_vmr_q84,temperature_q16,temperature_q50,temperature_q84,emission_contribution
1.000000e-05,7.630488e-11,3.543203e-09,4.974996e-08,3.061727e-05,3.319565e-05,3.436443e-05,1.285629e+03,1.503104e+03,1.694412e+03,1.063876e-06
1.314147e-05,1.939365e-10,5.637615e-09,5.106246e-08,3.167683e-05,3.319839e-05,3.429520e-05,1.326140e+03,1.530171e+03,1.708254e+03,1.473702e-06
1.726983e-05,3.321079e-10,7.077205e-09,5.755861e-08,3.194007e-05,3.323868e-05,3.424002e-05,1.368539e+03,1.559123e+03,1.723273e+03,2.045474e-06
2.269511e-05,5.765451e-10,8.208574e-09,6.264442e-08,3.220890e-05,3.327657e-05,3.420943e-05,1.410716e+03,1.588970e+03,1.741397e+03,2.847822e-06
2.982471e-05,1.165366e-09,1.209066e-08,6.861301e-08,3.223906e-05,3.321976e-05,3.410481e-05,1.455465e+03,1.620968e+03,1.761271e+03,3.975288e-06
3.919407e-05,1.704583e-09,1.667100e-08,7.209317e-08,3.229385e-05,3.315879e-05,3.398982e-05,1.501519e+03,1.655177e+03,1.783801e+03,5.556084e-06
5.150678e-05,3.598267e-09,2.016857e-08,8.110499e-08,3.234336e-05,3.314988e-05,3.393290e-05,1.549721e+03,1.691174e+03,1.809418e+03,7.790234e-06
6.768750e-05,5.304309e-09,3.036998e-08,1.008861e-07,3.230934e-05,3.307389e-05,3.381546e-05,1.599133e+03,1.729068e+03,1.837165e+03,1.099970e-05
8.895135e-05,1.037821e-08,4.015608e-08,1.170290e-07,3.217247e-05,3.289591e-05,3.360630e-05,1.651241e+03,1.769403e+03,1.867583e+03,1.560524e-05
1.168952e-04,1.542310e-08,5.261080e-08,1.314281e-07,3.210095e-05,3.279007e-05,3.347728e-05,1.705094e+03,1.811544e+03,1.900045e+03,2.218783e-05
1.536175e-04,2.765817e-08,7.698781e-08,1.720195e-07,3.183873e-05,3.250500e-05,3.318071e-05,1.761330e+03,1.856387e+03,1.935668e+03,3.163000e-05
2.018760e-04,4.405542e-08,9.942634e-08,2.074531e-07,3.155223e-05,3.219833e-05,3.286297e-05,1.820005e+03,1.904796e+03,1.974830e+03,4.512471e-05
2.652948e-04,6.737585e-08,1.458178e-07,2.569158e-07,3.127594e-05,3.191491e-05,3.256881e-05,1.881162e+03,1.955331e+03,2.016853e+03,6.436656e-05
3.486365e-04,1.117477e-07,1.942436e-07,3.332920e-07,3.074842e-05,3.137810e-05,3.201154e-05,1.944669e+03,2.008735e+03,2.061943e+03,9.178135e-05
4.581598e-04,1.644343e-07,2.773941e-07,4.110504e-07,3.034938e-05,3.096072e-05,3.157672e-05,2.010737e+03,2.065426e+03,2.111350e+03,1.310139e-04
6.020894e-04,2.494988e-07,3.765779e-07,5.383066e-07,2.966909e-05,3.024797e-05,3.083272e-05,2.078749e+03,2.124833e+03,2.164304e+03,1.873352e-04
7.912343e-04,3.863615e-07,5.171532e-07,6.987910e-07,2.893473e-05,2.948308e-05,3.004023e-05,2.149252e+03,2.187124e+03,2.221238e+03,2.680517e-04
1.039798e-03,5.530207e-07,7.253527e-07,9.052222e-07,2.798206e-05,2.850389e-05,2.903341e-05,2.222639e+03,2.253223e+03,2.282896e+03,3.833942e-04
1.366448e-03,7.739042e-07,9.689921e-07,1.205327e-06,2.679133e-05,2.729710e-05,2.781336e-05,2.297586e+03,2.323264e+03,2.349351e+03,5.484470e-04
1.795714e-03,1.103432e-06,1.309544e-06,1.578622e-06,2.532213e-05,2.582174e-05,2.632209e-05,2.375061e+03,2.397112e+03,2.422052e+03,7.830111e-04
2.359833e-03,1.465631e-06,1.727206e-06,2.075993e-06,2.337975e-05,2.391398e-05,2.441683e-05,2.453260e+03,2.474864e+03,2.500788e+03,1.111855e-03
